code,x0,depth,norm_rank,subtree_size
A06AB03,45.727764,5.0,1.0,0.0
A06AB04,46.919296,5.0,1.0,0.0
A06AB05,47.244423,5.0,1.0,0.0
A06AB06,49.015675,5.0,1.0,0.0
A06AB07,48.90387,5.0,1.0,0.0
A06AB08,40.630207,5.0,1.0,0.0
A06AB09,48.229416,5.0,1.0,0.0
A06AB20,49.78181,5.0,1.0,0.0
A06AB30,43.196587,5.0,1.0,0.0
A06AB52,48.068398,5.0,1.0,0.0
A06AB53,48.254936,5.0,1.0,0.0
A06AB56,48.774204,5.0,1.0,0.0
A06AB57,44.300472,5.0,1.0,0.0
A06AB58,47.422726,5.0,1.0,0.0
A06AC,36.99211,4.0,0.8,10.0
A06AC01,36.036896,5.0,1.0,0.0
A06AC02,37.5269,5.0,1.0,0.0
A06AC03,36.69011,5.0,1.0,0.0
A06AC05,36.346344,5.0,1.0,0.0
A06AC06,37.693493,5.0,1.0,0.0
A06AC07,36.96622,5.0,1.0,0.0
A06AC08,36.341827,5.0,1.0,0.0
A06AC51,36.921017,5.0,1.0,0.0
A06AC53,36.646187,5.0,1.0,0.0
A06AC55,37.8507,5.0,1.0,0.0
A06AD,44.92167,4.0,0.8,17.0
A06AD01,42.212833,5.0,1.0,0.0
A06AD02,44.29495,5.0,1.0,0.0
A06AD03,41.98939,5.0,1.0,0.0
A06AD04,41.1288,5.0,1.0,0.0
A06AD10,44.111805,5.0,1.0,0.0
A06AD11,44.118244,5.0,1.0,0.0
A06AD12,44.297752,5.0,1.0,0.0
A06AD13,43.66093,5.0,1.0,0.0
A06AD14,46.289413,5.0,1.0,0.0
A06AD15,45.63059,5.0,1.0,0.0
A06AD16,39.871956,5.0,1.0,0.0
A06AD17,42.659718,5.0,1.0,0.0
A06AD18,44.3359,5.0,1.0,0.0
A06AD19,39.746883,5.0,1.0,0.0
A06AD21,43.633896,5.0,1.0,0.0
A06AD61,44.25608,5.0,1.0,0.0
A06AD65,43.114433,5.0,1.0,0.0
A06AG,42.20444,4.0,0.8,9.0
A06AG01,40.961098,5.0,1.0,0.0
A06AG02,38.464962,5.0,1.0,0.0
A06AG03,41.72095,5.0,1.0,0.0
A06AG04,40.379436,5.0,1.0,0.0
A06AG06,41.91737,5.0,1.0,0.0
A06AG07,41.518288,5.0,1.0,0.0
A06AG10,42.39177,5.0,1.0,0.0
A06AG11,42.10819,5.0,1.0,0.0
A06AG20,42.702324,5.0,1.0,0.0
A06AH,42.317738,4.0,0.8,5.0
A06AH01,42.96536,5.0,1.0,0.0
A06AH02,41.928604,5.0,1.0,0.0
A06AH03,41.33249,5.0,1.0,0.0
A06AH04,42.624992,5.0,1.0,0.0
A06AH05,42.033737,5.0,1.0,0.0
A06AX,40.303406,4.0,0.8,9.0
A06AX01,39.92772,5.0,1.0,0.0
A06AX02,38.914276,5.0,1.0,0.0
A06AX03,40.471436,5.0,1.0,0.0
A06AX04,39.989944,5.0,1.0,0.0
A06AX05,38.98774,5.0,1.0,0.0
A06AX06,37.90171,5.0,1.0,0.0
A06AX07,39.653774,5.0,1.0,0.0
A06AX08,39.90159,5.0,1.0,0.0
A06AX09,40.373425,5.0,1.0,0.0
A07,29.196728,2.0,0.4,83.0
A07A,47.090153,3.0,0.6,27.0
A07AA,47.24489,4.0,0.8,15.0
A07AA01,46.71611,5.0,1.0,0.0
A07AA02,46.267582,5.0,1.0,0.0
A07AA03,47.891804,5.0,1.0,0.0
A07AA04,46.65592,5.0,1.0,0.0
A07AA05,44.01553,5.0,1.0,0.0
A07AA06,46.142517,5.0,1.0,0.0
A07AA07,47.28135,5.0,1.0,0.0
A07AA08,46.722378,5.0,1.0,0.0
A07AA09,47.42902,5.0,1.0,0.0
A07AA10,47.03768,5.0,1.0,0.0
A07AA11,46.924274,5.0,1.0,0.0
A07AA12,46.3184,5.0,1.0,0.0
A07AA13,43.73163,5.0,1.0,0.0
A07AA51,46.93032,5.0,1.0,0.0
A07AA54,46.470703,5.0,1.0,0.0
A07AB,44.6611,4.0,0.8,3.0
A07AB02,44.24815,5.0,1.0,0.0
A07AB03,44.751694,5.0,1.0,0.0
A07AB04,44.39029,5.0,1.0,0.0
A07AC,34.400753,4.0,0.8,1.0
A07AC01,34.31366,5.0,1.0,0.0
A07AX,46.412945,4.0,0.8,4.0
A07AX01,45.845116,5.0,1.0,0.0
A07AX02,46.133213,5.0,1.0,0.0
A07AX03,46.54058,5.0,1.0,0.0
A07AX04,45.72835,5.0,1.0,0.0
A07B,41.057003,3.0,0.6,12.0
A07BA,37.93461,4.0,0.8,2.0
A07BA01,38.00866,5.0,1.0,0.0
A07BA51,38.12531,5.0,1.0,0.0
A07BB,35.227707,4.0,1.0,0.0
A07BC,41.186493,4.0,0.8,7.0
A07BC01,41.08036,5.0,1.0,0.0
A07BC02,40.526756,5.0,1.0,0.0
A07BC03,40.458817,5.0,1.0,0.0
A07BC04,41.011536,5.0,1.0,0.0
A07BC05,40.24929,5.0,1.0,0.0
A07BC30,40.549286,5.0,1.0,0.0
A07BC54,41.475796,5.0,1.0,0.0
A07C,45.007374,3.0,0.75,1.0
A07CA,44.833004,4.0,1.0,0.0
A07D,46.36961,3.0,0.6,9.0
A07DA,46.156513,4.0,0.8,8.0
A07DA01,46.37466,5.0,1.0,0.0
A07DA02,44.922173,5.0,1.0,0.0
A07DA03,45.981934,5.0,1.0,0.0
A07DA04,45.798946,5.0,1.0,0.0
A07DA05,45.544704,5.0,1.0,0.0
A07DA06,46.92216,5.0,1.0,0.0
A07DA52,43.797253,5.0,1.0,0.0
A07DA53,45.872417,5.0,1.0,0.0
A07E,48.089954,3.0,0.6,15.0
A07EA,48.008797,4.0,0.8,7.0
A07EA01,46.19361,5.0,1.0,0.0
A07EA02,47.007286,5.0,1.0,0.0
A07EA03,48.29133,5.0,1.0,0.0
A07EA04,47.97613,5.0,1.0,0.0
A07EA05,47.268616,5.0,1.0,0.0
A07EA06,47.929688,5.0,1.0,0.0
A07EA07,48.29102,5.0,1.0,0.0
A07EB,39.26236,4.0,0.8,1.0
A07EB01,39.406914,5.0,1.0,0.0
A07EC,46.519287,4.0,0.8,4.0
A07EC01,45.732754,5.0,1.0,0.0
